GPU Memory,96 GB,,,,
NVIDIA GPUs,NVIDIA RTX PRO 6000 SE 96GB,,,,
Architecture ,Blackwell,,,,
vGPU Profiles,FrameBuffer,Maximum vGPUs per GPU in Mixed-Size Mod,Supported Placement IDs,,
DC-96C,96,1,0,,
DC-48C,48,2,"0, 48",,
DC-32C,32,3,"0, 32, 64",,
DC-24C,24,4,"0, 24, 48, 72",,
DC-16C,16,6,"0, 16, 32, 48, 64, 80",,
DC-12C,12,8,"0, 12, 24, 36, 48, 60, 72, 84",,
DC-8C,8,12,"0, 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88",,
,,,,,
GPU Memory,94 GB,,,,
NVIDIA GPUs,NVIDIA H100 PCIe 94GB (H100 NVL),,,,
Architecture ,Hopper,,,,
vGPU Profiles,FrameBuffer,Maximum vGPUs per GPU in Mixed-Size Mod,Supported Placement IDs,,
H100L-94C,94,1,0,,1
H100L-47C,47,2,"0, 47",,1
H100L-23C,23,4,"0, 24, 47, 71",,1
H100L-15C,15,4,"0, 32, 47, 79",,1
H100L-11C,11,8,"0, 12, 23, 36, 47, 59, 70, 83",,1
H100L-6C,6,8,"0, 17, 23, 41, 47, 64, 70, 88",,1
H100L-4C,4,16,"0, 7, 11, 19, 23, 31, 35, 43, 47, 54, 58, 66, 70, 78, 82, 90",,1
,,,,,
GPU Memory,94 GB,,,,
NVIDIA GPUs,NVIDIA H100 SXM5 94GB,,,,
Architecture ,Hopper,,,,
vGPU Profiles,FrameBuffer,Maximum vGPUs per GPU in Mixed-Size Mod,Supported Placement IDs,,
H100XL-94C,94,1,0,,
H100XL-47C,47,2,"0, 47",,
H100XL-23C,23,4,"0, 24, 47, 71",,
H100XL-15C,15,4,"0, 32, 47, 79",,
H100XL-11C,11,8,"0, 12, 23, 36, 47, 59, 70, 83",,
H100XL-6C,6,8,"0, 17, 23, 41, 47, 64, 70, 88",,
H100XL-4C,4,16,"0, 7, 11, 19, 23, 31, 35, 43, 47, 54, 58, 66, 70, 78, 82, 90",,
,,,,,
GPU Memory,80 GB,,,,
NVIDIA GPUs,NVIDIA H100 PCIe 80GB,,,,
Architecture ,Hopper,,,,
vGPU Profiles,FrameBuffer,Maximum vGPUs per GPU in Mixed-Size Mod,Supported Placement IDs,,
H100-80,80,1,0,,
H100-40C,40,2,"0, 40",,
H100-20C,20,4,"0, 20, 40, 60",,
H100-16C,16,4,"0, 24, 40, 64",,
H100-10C,10,8,"0, 10, 20, 30, 40, 50, 60, 70",,
H100-8C,8,8,"0, 12, 20, 32, 40, 52, 60, 72",,
H100-5C,5,16,"0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75",,
H100-4C,4,16,"0, 6, 10, 16, 20, 26, 30, 36, 40, 46, 50, 56, 60, 66, 70, 76",,
,,,,,
GPU Memory,80 GB,,,,
NVIDIA GPUs,NVIDIA H100 SXM5 80GB,,,,
Architecture ,Hopper,,,,
vGPU Profiles,FrameBuffer,Maximum vGPUs per GPU in Mixed-Size Mod,Supported Placement IDs,,
H100XM-80C,80,1,0,,
H100XM-40C,40,2,"0, 40",,
H100XM-20C,20,4,"0, 20, 40, 60",,
H100XM-16C,16,4,"0, 24, 40, 64",,
H100XM-10C,10,8,"0, 10, 20, 30, 40, 50, 60, 70",,
H100XM-8C,8,8,"0, 12, 20, 32, 40, 52, 60, 72",,
H100XM-5C,5,16,"0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75",,
H100XM-4C,4,16,"0, 6, 10, 16, 20, 26, 30, 36, 40, 46, 50, 56, 60, 66, 70, 76",,
,,,,,
GPU Memory,48 GB,,,,
NVIDIA GPUs,NVIDIA L40,,,,
Architecture ,Ada Lovelace,,,,
vGPU Profiles,FrameBuffer,Maximum vGPUs per GPU in Mixed-Size Mod,Supported Placement IDs,,
L40-48C,48,1,0,,
L40-24C,24,2,"0, 24",,
L40-16C,16,2,"0, 32",,
L40-12C,12,4,"0, 12, 24, 36",,
L40-8C,8,4,"0, 16, 24, 40",,
L40-6C,6,8,"0, 6, 12, 18, 24, 30, 36, 42",,
L40-4C,4,8,"0, 8, 12, 20, 24, 32, 36, 44",,
,,,,,
GPU Memory,48 GB,,,,
NVIDIA GPUs,NVIDIA L40S,,,,
Architecture ,Ada Lovelace,,,,
vGPU Profiles,FrameBuffer,Maximum vGPUs per GPU in Mixed-Size Mod,Supported Placement IDs,,
L40S-48C,48,1,0,,
L40S-24C,24,2,"0, 24",,
L40S-16C,16,2,"0, 32",,
L40S-12C,12,4,"0, 12, 24, 36",,
L40S-8C,8,4,"0, 16, 24, 40",,
L40S-6C,6,8,"0, 6, 12, 18, 24, 30, 36, 42",,
L40S-4C,4,8,"0, 8, 12, 20, 24, 32, 36, 44",,
,,,,,
GPU Memory,24 GB,,,,
NVIDIA GPUs,NVIDIA L4,,,,
Architecture ,Ada Lovelace,,,,
vGPU Profiles,FrameBuffer,Maximum vGPUs per GPU in Mixed-Size Mod,Supported Placement IDs,,
L4-24C,24,1,0,,
L4-12C,12,2,"0, 12",,
L4-8C,8,2,"0, 16",,
L4-6C,6,4,"0, 6, 12, 18",,
L4-4C,4,4,"0, 8, 12, 20",,
,,,,,
GPU Memory,80 GB,,,,
NVIDIA GPUs,NVIDIA A100 PCIe 80GB,,,,
Architecture ,Ampere,,,,
vGPU Profiles,FrameBuffer,Maximum vGPUs per GPU in Mixed-Size Mod,Supported Placement IDs,,
A100D-80,80,1,0,,
A100D-40C,40,2,"0, 40",,
A100D-20C,20,4,"0, 20, 40, 60",,
A100D-16C,16,4,"0, 24, 40, 64",,
A100D-10C,10,8,"0, 10, 20, 30, 40, 50, 60, 70",,
A100D-8C,8,8,"0, 12, 20, 32, 40, 52, 60, 72",,
A100D-5C,5,16,"0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75",,
A100D-4C,4,16,"0, 6, 10, 16, 20, 26, 30, 36, 40, 46, 50, 56, 60, 66, 70, 76",,
,,,,,
GPU Memory,80 GB,,,,
NVIDIA GPUs,NVIDIA A100 HGX 80GB,,,,
Architecture ,Ampere,,,,
vGPU Profiles,FrameBuffer,Maximum vGPUs per GPU in Mixed-Size Mod,Supported Placement IDs,,
A100DX-80,80,1,0,,
A100DX-40C,40,2,"0, 40",,
A100DX-20C,20,4,"0, 20, 40, 60",,
A100DX-16C,16,4,"0, 24, 40, 64",,
A100DX-10C,10,8,"0, 10, 20, 30, 40, 50, 60, 70",,
A100DX-8C,8,8,"0, 12, 20, 32, 40, 52, 60, 72",,
A100DX-5C,5,16,"0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75",,
A100DX-4C,4,16,"0, 6, 10, 16, 20, 26, 30, 36, 40, 46, 50, 56, 60, 66, 70, 76",,
,,,,,
GPU Memory,40 GB,,,,
NVIDIA GPUs,NVIDIA A100 PCIe 40GB,,,,
Architecture ,Ampere,,,,
vGPU Profiles,FrameBuffer,Maximum vGPUs per GPU in Mixed-Size Mod,Supported Placement IDs,,
A100-40C,40,1,0,,
A100-20C,20,2,"0, 20",,
A100-10C,10,4,"0, 10, 20, 30",,
A100-8C,8,4,"0, 12, 20, 32",,
A100-5C,5,8,"0, 5, 10, 15, 20, 25, 30, 35",,
A100-4C,4,8,"0, 6, 10, 16, 20, 26, 30, 36",,